%time,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,,,,
1.53658E+18,784,896,900,822,1023,971,844,923,1014,661,554,882,,,,
1.53658E+18,785,896,901,821,1023,971,844,923,1014,661,554,882,,,,
1.53658E+18,785,896,901,821,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,785,896,901,821,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,784,896,900,821,1023,970,844,922,1013,661,554,883,,,,
1.53658E+18,785,895,901,821,1023,970,844,923,1013,661,553,881,,,,
1.53658E+18,785,896,900,821,1023,970,843,922,1014,661,553,882,,,,
1.53658E+18,785,895,901,821,1023,970,844,922,1014,661,553,882,,,,
1.53658E+18,785,896,901,821,1023,969,844,922,1014,661,554,882,,,,
1.53658E+18,785,896,900,821,1023,970,844,923,1014,661,553,881,,,,
1.53658E+18,785,895,900,821,1023,970,844,923,1014,661,553,883,,,,
1.53658E+18,785,895,900,821,1023,970,844,922,1013,661,554,882,,,,
1.53658E+18,785,895,900,821,1023,970,844,922,1014,661,554,882,,,,
1.53658E+18,785,896,900,821,1022,969,843,922,1014,661,553,882,,,,
1.53658E+18,785,895,900,821,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,784,896,901,821,1023,971,845,923,1013,661,554,882,,,,
1.53658E+18,784,895,901,821,1023,971,844,924,1015,661,554,882,,,,
1.53658E+18,785,895,900,821,1023,970,844,923,1014,661,553,882,,,,
1.53658E+18,784,895,900,820,1023,970,844,923,1014,661,553,883,,,,
1.53658E+18,784,895,900,821,1023,970,844,923,1014,662,553,883,,,,
1.53658E+18,785,895,900,821,1023,970,844,923,1014,661,553,883,,,,
1.53658E+18,784,896,900,820,1023,970,844,923,1013,661,553,882,,,,
1.53658E+18,784,895,900,820,1023,970,844,924,1014,661,553,882,,,,
1.53658E+18,784,895,901,820,1023,970,844,923,1014,661,554,882,,,,
1.53658E+18,784,895,900,821,1023,970,844,923,1014,661,553,882,,,,
1.53658E+18,784,895,901,820,1023,970,843,924,1014,661,554,882,,,,
